ImageFile,Shock,ID,RetaliationLoop.thisRepN,RetaliationLoop.thisTrialN,RetaliationLoop.thisN,RetaliationLoop.thisIndex,WelcomeContinue.keys,WelcomeContinue.rt,IRContinue.keys,IRContinue.rt,RetaliationKey.keys,RetaliationKey.rt,participant,session,date,expName,frameRate,
,,,,,,,space,1.0645552564965328,,,,,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
,,,,,,,,,space,0.9342202432326303,,,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
images/Face1.jpg,0,1,0,0,0,0,,,,,num_1,3.28627449722444,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
images/Face3.jpg,2,3,0,1,1,2,,,,,num_2,1.5180489479298558,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
images/Face2.jpg,1,2,0,2,2,1,,,,,num_0,0.8341201530874969,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
images/Face2.jpg,1,2,1,0,3,1,,,,,None,,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
images/Face1.jpg,0,1,1,1,4,0,,,,,num_2,9.191130473278463,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
images/Face3.jpg,2,3,1,2,5,2,,,,,num_1,5.555061770375687,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
images/Face2.jpg,1,2,2,0,6,1,,,,,None,,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
images/Face1.jpg,0,1,2,1,7,0,,,,,None,,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
images/Face3.jpg,2,3,2,2,8,2,,,,,num_1,4.46996974839567,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
images/Face1.jpg,0,1,3,0,9,0,,,,,None,,,001,2019_Feb_07_1411,AggPrototype,59.85744159127458,
